temps,effectif
0,4113128
1,2056877
2,553511
3,304725
4,201388
5,146416
6,112667
7,89999
8,76690
9,67115
10,59845
11,54465
12,49773
13,45850
14,42490
15,41825
16,43980
17,45320
18,44809
19,43241
20,40788
21,39799
22,39093
23,38690
24,36343
25,29978
26,24615
27,21075
28,18153
29,15759
30,13518
31,11854
32,10453
33,9542
34,9150
35,8839
36,8508
37,8286
38,8267
39,8400
40,9121
41,9726
42,10323
43,10452
44,10741
45,11155
46,11815
47,12252
48,12625
49,11934
50,10370
51,9283
52,8021
53,7169
54,6404
55,5785
56,5232
57,4892
58,4872
59,4663
60,4727
61,4636
62,4645
63,4979
64,5749
65,6844
66,7364
67,8199
68,7962
69,8473
70,8851
71,9224
72,9284
73,7907
74,6662
75,5847
76,5038
77,4686
78,4142
79,3585
80,3221
81,3008
82,2857
83,2914
84,2747
85,2660
86,2880
87,2957
88,3553
89,4115
90,4551
91,4848
92,4968
93,5415
94,5674
95,6160
96,6182
97,5297
98,4611
99,4115
100,3626
101,3343
102,2904
103,2507
104,2301
105,2181
106,2008
107,1934
108,1968
109,2002
110,1978
111,2050
112,2467
113,2857
114,3284
115,3409
116,3663
117,4101
118,4308
119,4477
120,4664
121,4070
122,3466
123,3123
124,2858
125,2453
126,2272
127,1982
128,1709
129,1634
130,1613
131,1540
132,1499
133,1514
134,1539
135,1676
136,1921
137,2216
138,2510
139,2656
140,3032
141,3317
142,3570
143,3874
144,3914
145,3417
146,3050
147,2725
148,2430
149,2119
150,1902
151,1715
152,1418
153,1307
154,1319
155,1333
156,1219
157,1251
158,1308
159,1354
160,1546
161,1823
162,2133
163,2380
164,2526
165,2708
166,2984
167,3305
168,3550
169,3145
170,2756
171,2306
172,2111
173,1836
174,1570
175,1339
176,1212
177,1041
178,1050
179,1084
180,1045
181,1042
182,1058
183,1106
184,1246
185,1418
186,1590
187,1779
188,1888
189,1933
190,2193
191,2437
192,2408
193,2177
194,1813
195,1646
196,1484
197,1420
198,1242
199,1189
200,948
201,932
202,913
203,868
204,917
205,835
206,860
207,878
208,964
209,1090
210,1233
211,1293
212,1390
213,1525
214,1668
215,1809
216,1713
217,1543
218,1376
219,1246
220,1145
221,1090
222,1021
223,884
224,789
225,700
226,696
227,741
228,672
229,703
230,709
231,728
232,832
233,900
234,1014
235,1118
236,1169
237,1201
238,1364
239,1442
240,1441
241,1297
242,1164
243,1015
244,917
245,874
246,756
247,697
248,626
249,602
250,589
251,581
252,522
253,598
254,575
255,573
256,695
257,766
258,876
259,926
260,954
261,1060
262,1151
263,1332
264,1267
265,1241
266,1048
267,884
268,864
269,731
270,678
271,590
272,514
273,475
274,513
275,484
276,482
277,483
278,536
279,546
280,603
281,728
282,788
283,877
284,859
285,923
286,1092
287,1194
288,1151
289,1045
290,924
291,840
292,759
293,769
294,637
295,548
296,521
297,482
298,449
299,475
300,450
301,428
302,482
303,496
304,577
305,640
306,762
307,791
308,864
309,931
310,1062
311,1190
312,1130
313,1099
314,916
315,809
316,752
317,731
318,672
319,566
320,479
321,396
322,381
323,442
324,427
325,425
326,463
327,486
328,521
329,616
330,719
331,798
332,814
333,922
334,1003
335,1123
336,1158
337,1059
338,950
339,829
340,750
341,674
342,540
343,504
344,447
345,391
346,400
347,344
348,370
349,374
350,359
351,379
352,431
353,493
354,589
355,614
356,659
357,704
358,759
359,875
360,905
361,850
362,714
363,592
364,536
365,486
366,437
367,426
368,333
369,319
370,309
371,315
